equipo,fuerza_base
Argentina,92
Francia,91
España,90
Brasil,89
Portugal,88
Inglaterra,87
Alemania,85
Países Bajos,84
Bélgica,82
Uruguay,81
Colombia,80
Suiza,78
Croacia,78
Marruecos,77
Japón,76
Ecuador,76
Noruega,75
Austria,74
Suecia,74
Turquía,73
Senegal,73
Estados Unidos,72
México,72
Egipto,71
Canadá,70
Irán,70
Costa de Marfil,70
Corea del Sur,69
Ghana,69
República Checa,68
Paraguay,68
Argelia,68
Escocia,68
Bosnia y Herzegovina,67
Australia,67
3er lugar a definir,66
Sudáfrica,64
Túnez,64
Arabia Saudita,62
Qatar,58
RD Congo,58
Uzbekistán,57
Cabo Verde,57
Panamá,56
Irak,56
Nueva Zelanda,55
Jordania,54
Haití,46
Curazao,45
