grupo,equipo_local,equipo_visita,pred_local,pred_visita
A,México,Sudáfrica,2,1
A,Corea del Sur,República Checa,1,1
A,República Checa,Sudáfrica,2,1
A,México,Corea del Sur,2,1
A,Sudáfrica,Corea del Sur,0,2
A,República Checa,México,1,2
B,Canadá,Bosnia y Herzegovina,2,1
B,Qatar,Suiza,0,2
B,Canadá,Qatar,2,0
B,Suiza,Bosnia y Herzegovina,2,1
B,Bosnia y Herzegovina,Qatar,2,1
B,Suiza,Canadá,2,1
C,Brasil,Marruecos,2,1
C,Haití,Escocia,0,2
C,Brasil,Haití,3,0
C,Escocia,Marruecos,1,2
C,Marruecos,Haití,2,0
C,Escocia,Brasil,0,2
D,Estados Unidos,Paraguay,2,1
D,Australia,Turquía,1,2
D,Estados Unidos,Australia,2,1
D,Turquía,Paraguay,2,1
D,Paraguay,Australia,1,1
D,Turquía,Estados Unidos,1,1
E,Alemania,Curazao,4,0
E,Costa de Marfil,Ecuador,1,1
E,Alemania,Costa de Marfil,3,1
E,Ecuador,Curazao,3,0
E,Curazao,Costa de Marfil,0,3
E,Ecuador,Alemania,1,3
F,Países Bajos,Japón,2,1
F,Suecia,Túnez,2,1
F,Países Bajos,Suecia,2,1
F,Túnez,Japón,1,2
F,Japón,Suecia,1,1
F,Túnez,Países Bajos,0,2
G,Bélgica,Egipto,2,1
G,Irán,Nueva Zelanda,2,0
G,Bélgica,Irán,3,1
G,Nueva Zelanda,Egipto,1,2
G,Egipto,Irán,1,1
G,Nueva Zelanda,Bélgica,0,3
H,España,Cabo Verde,3,0
H,Arabia Saudita,Uruguay,0,2
H,España,Arabia Saudita,3,0
H,Uruguay,Cabo Verde,3,0
H,Cabo Verde,Arabia Saudita,1,2
H,Uruguay,España,1,2
I,Francia,Senegal,2,0
I,Irak,Noruega,0,2
I,Francia,Irak,3,0
I,Noruega,Senegal,1,1
I,Senegal,Irak,2,0
I,Noruega,Francia,1,2
J,Argentina,Argelia,3,0
J,Austria,Jordania,2,0
J,Argentina,Austria,2,0
J,Jordania,Argelia,1,2
J,Argelia,Austria,1,2
J,Jordania,Argentina,0,4
K,Portugal,RD Congo,3,0
K,Uzbekistán,Colombia,0,2
K,Portugal,Uzbekistán,3,0
K,Colombia,RD Congo,2,0
K,RD Congo,Uzbekistán,1,1
K,Colombia,Portugal,1,2
L,Inglaterra,Croacia,2,1
L,Ghana,Panamá,2,0
L,Inglaterra,Ghana,3,1
L,Panamá,Croacia,0,3
L,Croacia,Ghana,2,1
L,Panamá,Inglaterra,0,3
