grupo,equipo_local,equipo_visita,real_local,real_visita
A,Sudáfrica,Corea del Sur,1,0
A,México,República Checa,3,0
B,Suiza,Canadá,2,1
B,Bosnia y Herzegovina,Qatar,3,1
C,Marruecos,Haití,4,2
C,Escocia,Brasil,0,3
K,Portugal,Uzbekistán,5,0
L,Inglaterra,Ghana,0,0
L,Panamá,Croacia,0,1
K,Colombia,RD Congo,1,0
J,Argentina,Austria,2,0
I,Francia,Irak,3,0
I,Noruega,Senegal,3,2
J,Jordania,Argelia,1,2
H,España,Arabia Saudita,4,0
G,Bélgica,Irán,0,0
H,Uruguay,Cabo Verde,2,2
G,Egipto,Nueva Zelanda,3,1
F,Japón,Túnez,4,0
